# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049781337431e-05       4.729722795561e+01 
       2.344231599771e-05       1.027750670490e+02 
       3.643277991553e-05       1.573513583071e+02 
       4.950450360495e-05       2.115879672924e+02 
       6.269337501808e-05       2.658094407437e+02 
       7.603619473786e-05       3.202619806166e+02 
       8.957100956350e-05       3.751581088874e+02 
       1.033374610026e-04       4.306950010013e+02 
       1.173771531810e-04       4.870639818049e+02 
       1.317340447162e-04       5.444563046951e+02 
       1.464548691018e-04       6.030672245570e+02 
       1.615895880888e-04       6.630991971748e+02 
       1.771918823522e-04       7.247646495789e+02 
       1.933196833368e-04       7.882885285059e+02 
       2.100357494730e-04       8.539107720683e+02 
       2.274082888013e-04       9.218887553815e+02 
       2.455116282683e-04       9.924997615692e+02 
       2.644269273213e-04       1.066043482971e+03 
       2.842429296408e-04       1.142844516040e+03 
       3.050567415675e-04       1.223254835762e+03 
       3.269746185922e-04       1.307656142580e+03 
       3.501127317715e-04       1.396461967658e+03 
       3.745978737094e-04       1.490119378107e+03 
       4.005680485638e-04       1.589110046614e+03 
       4.281728724602e-04       1.693950387978e+03 
       4.575736903484e-04       1.805190427973e+03 
       4.889432942609e-04       1.923410921172e+03 
       5.224651089621e-04       2.049218302983e+03 
       5.583316986351e-04       2.183236903783e+03 
       5.967424488975e-04       2.326098017606e+03 
       6.379002999758e-04       2.478425414611e+03 
       6.820074575460e-04       2.640817262413e+03 
       7.292600938832e-04       2.813824643740e+03 
       7.798421743957e-04       2.997927399642e+03 
       8.339186947641e-04       3.193508698621e+03 
       8.916287708054e-04       3.400830002755e+03 
       9.530791539542e-04       3.620008949602e+03 
       1.018338811029e-03       3.851002391663e+03 
       1.087435174352e-03       4.093596879159e+03 
       1.160352523480e-03       4.347408173706e+03 
       1.237032718673e-03       4.611890227162e+03 
       1.317378214448e-03       4.886353140466e+03 
       1.401257002207e-03       5.169960942360e+03 
       1.488508923731e-03       5.461826762114e+03 
       1.578952699457e-03       5.761005228713e+03 
       1.672393031881e-03       6.066510328741e+03 
       1.768627251375e-03       6.377354538733e+03 
       1.867451129678e-03       6.692571708175e+03 
       1.968663654702e-03       7.011234726403e+03 
       2.072070708335e-03       7.332469101208e+03 
       2.177487699890e-03       7.655461455442e+03 
       2.284741277987e-03       7.979464739273e+03 
       2.393670277576e-03       8.303799811733e+03 
       2.504126065573e-03       8.627853606373e+03 
       2.615972437634e-03       8.951079442979e+03 
       2.729085198137e-03       9.272989767263e+03 
       2.843351531454e-03       9.593155069255e+03 
       2.958669248968e-03       9.911196621045e+03 
       3.074945975148e-03       1.022678377358e+04 
       3.192098318248e-03       1.053962845973e+04 
       3.310051057000e-03       1.084948081498e+04 
       3.428736363756e-03       1.115612558325e+04 
       3.548093076365e-03       1.145937515113e+04 
       3.668066025204e-03       1.175907272026e+04 
       3.788605417667e-03       1.205508424612e+04 
       3.909666279633e-03       1.234729626660e+04 
       4.031207951661e-03       1.263561439560e+04 
       4.153193636582e-03       1.291996126616e+04 
       4.275589994613e-03       1.320027455260e+04 
       4.398366781859e-03       1.347650359303e+04 
       4.521496528118e-03       1.374861068929e+04 
       4.644954250031e-03       1.401656538135e+04 
       4.768717195864e-03       1.428034787613e+04 
       4.892764618488e-03       1.453993644401e+04 
       5.017077573439e-03       1.479534190247e+04 
       5.141638739230e-03       1.504656501274e+04 
       5.266432257382e-03       1.529359745724e+04 
       5.391443589907e-03       1.553647051599e+04 
       5.516659392249e-03       1.577516890795e+04 
       5.642067399890e-03       1.600972362870e+04 
       5.767656327051e-03       1.624015537048e+04 
       5.893415776112e-03       1.646648185410e+04 
       6.019336156505e-03       1.668872889692e+04 
       6.145408612022e-03       1.690692965803e+04 
       6.271624955580e-03       1.712110556602e+04 
       6.397977610600e-03       1.733128763868e+04 
       6.524459558277e-03       1.753751397763e+04 
       6.651064290078e-03       1.773980716111e+04 
       6.777785764904e-03       1.793820824837e+04 
       6.904618370406e-03       1.813275330401e+04 
       7.031556888013e-03       1.832347306440e+04 
       7.158596461268e-03       1.851040529746e+04 
       7.285732567139e-03       1.869358653944e+04 
       7.412960989978e-03       1.887304511476e+04 
       7.540277797869e-03       1.904883019933e+04 
       7.667679321110e-03       1.922097559443e+04 
       7.795162132624e-03       1.938952528622e+04 
       7.922723030099e-03       1.955450221464e+04 
       8.050359019687e-03       1.971595167516e+04 
       8.178067301113e-03       1.987391830839e+04 
       8.305845254058e-03       2.002841737683e+04 
       8.433690425687e-03       2.017951321662e+04 
       8.561600519228e-03       2.032724079061e+04 
       8.689573383482e-03       2.047162229887e+04 
       8.817607003205e-03       2.061270208331e+04 
       8.945699490259e-03       2.075051467450e+04 
       9.073849075477e-03       2.088510380862e+04 
       9.202054101166e-03       2.101649916038e+04 
       9.330313014209e-03       2.114474150365e+04 
       9.458624359696e-03       2.126985892072e+04 
       9.586986775048e-03       2.139189382543e+04 
       9.715398984588e-03       2.151087568342e+04 
       9.843859794525e-03       2.162685163271e+04 
       9.972368088316e-03       2.173983551648e+04 
       1.010092282237e-02       2.184987272611e+04 
       1.022952302206e-02       2.195700039916e+04 
       1.035816777806e-02       2.206124706912e+04 
       1.048685624290e-02       2.216264756844e+04 
       1.061558762781e-02       2.226123749793e+04 
       1.074436119979e-02       2.235704293034e+04 
       1.087317627884e-02       2.245010388795e+04 
       1.100203223546e-02       2.254044535257e+04 
       1.113092848827e-02       2.262810313384e+04 
       1.125986450181e-02       2.271311487995e+04 
       1.138883978455e-02       2.279550299047e+04 
       1.151785388691e-02       2.287529987083e+04 
       1.164690639959e-02       2.295253915856e+04 
       1.177599695187e-02       2.302725796801e+04 
       1.190512521008e-02       2.309947716180e+04 
       1.203429087623e-02       2.316923168139e+04 
       1.216349368666e-02       2.323654520807e+04 
       1.229273341080e-02       2.330145868645e+04 
       1.242200985007e-02       2.336399265515e+04 
       1.255132283679e-02       2.342418243904e+04 
       1.268067223321e-02       2.348205552950e+04 
       1.281005793057e-02       2.353764729312e+04 
       1.293947984832e-02       2.359097301945e+04 
       1.306893793326e-02       2.364206961120e+04 
       1.319843215887e-02       2.369096792110e+04 
       1.332796252462e-02       2.373768532950e+04 
       1.345752905535e-02       2.378225188945e+04 
       1.358713180070e-02       2.382470256025e+04 
