# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048294959306e-05       4.748742519136e+01 
       2.340909221291e-05       1.031882068177e+02 
       3.638100117708e-05       1.579832796490e+02 
       4.943382439187e-05       2.124363539756e+02 
       6.260329507525e-05       2.668728729339e+02 
       7.592605261090e-05       3.215395982311e+02 
       8.943997372945e-05       3.766494589794e+02 
       1.031845184502e-04       4.323999366235e+02 
       1.172010952503e-04       4.889826013121e+02 
       1.315334499627e-04       5.465888993030e+02 
       1.462280829078e-04       6.054142374419e+02 
       1.613346987010e-04       6.656611768032e+02 
       1.769066929887e-04       7.275422131590e+02 
       1.930016799764e-04       7.912823129816e+02 
       2.096820639236e-04       8.571213921187e+02 
       2.270156566478e-04       9.253167428844e+02 
       2.450763413394e-04       9.961455178924e+02 
       2.639447803977e-04       1.069907205755e+03 
       2.837091612809e-04       1.146926140283e+03 
       3.044659691716e-04       1.227553959993e+03 
       3.263207682009e-04       1.312171956637e+03 
       3.493889636292e-04       1.401193182863e+03 
       3.737965053683e-04       1.495064176571e+03 
       3.996804782897e-04       1.594266026526e+03 
       4.271895069629e-04       1.699314564806e+03 
       4.564838823876e-04       1.810759260473e+03 
       4.877352974213e-04       1.929180410693e+03 
       5.211260587113e-04       2.055184189299e+03 
       5.568476304066e-04       2.189394954834e+03 
       5.950983649866e-04       2.332444455503e+03 
       6.360802969340e-04       2.484957532853e+03 
       6.799949238826e-04       2.647534163534e+03 
       7.270379836287e-04       2.820728157140e+03 
       7.773933551410e-04       3.005023118805e+03 
       8.312263594120e-04       3.200807059669e+03 
       8.886768915223e-04       3.408347398115e+03 
       9.498529466315e-04       3.627768588413e+03 
       1.014825171455e-03       3.859034960496e+03 
       1.083623045666e-03       4.101940798188e+03 
       1.156233159689e-03       4.356109416156e+03 
       1.232599820733e-03       4.621001581349e+03 
       1.312627931360e-03       4.895933123228e+03 
       1.396187806312e-03       5.180073283313e+03 
       1.483121383279e-03       5.472535847327e+03 
       1.573249180082e-03       5.772377246752e+03 
       1.666377361007e-03       6.078610691479e+03 
       1.762304376594e-03       6.390246471570e+03 
       1.860826795684e-03       6.706314966594e+03 
       1.961744115418e-03       7.025884775308e+03 
       2.064862483200e-03       7.348076423362e+03 
       2.169997376979e-03       7.672071190348e+03 
       2.276975362074e-03       7.997116521279e+03 
       2.385635078460e-03       8.322527586732e+03 
       2.495827620632e-03       8.647686679845e+03 
       2.607416462250e-03       8.972041378563e+03 
       2.720277057971e-03       9.295099634648e+03 
       2.834296231266e-03       9.616427522776e+03 
       2.949371433523e-03       9.935642420637e+03 
       3.065409938599e-03       1.025240965041e+04 
       3.182328019170e-03       1.056643843845e+04 
       3.300050136931e-03       1.087747548378e+04 
       3.418508167635e-03       1.118530321222e+04 
       3.537640673725e-03       1.148973154627e+04 
       3.657392231306e-03       1.179060173843e+04 
       3.777712814022e-03       1.208777761084e+04 
       3.898557233570e-03       1.238114436972e+04 
       4.019884634724e-03       1.267060585487e+04 
       4.141658041658e-03       1.295608513462e+04 
       4.263843951745e-03       1.323751747416e+04 
       4.386411972771e-03       1.351485013920e+04 
       4.509334499493e-03       1.378804690299e+04 
       4.632586425604e-03       1.405707568270e+04 
       4.756144887409e-03       1.432191227395e+04 
       4.879989035791e-03       1.458254721529e+04 
